session_id,variant,dataset,num_rounds,final_accuracy,final_f1_macro,final_auc_macro,final_loss,peak_accuracy,mean_accuracy,peak_f1_macro,mean_round_wall_time_s,total_wall_time_s,num_samples,model_payload_bytes
baseline_20260624_184127,baseline,UCIHAR,11,0.9209365456396336,0.9208281629755423,0.9886479464606951,0.27265230661376993,0.9209365456396336,0.8263256933090662,0.9208281629755423,77.854,778.54,2947,3420320
baseline_20260624_202221,baseline,UCIHAR,11,0.9290804207668816,0.9295535232958126,0.9909243116447204,0.23858820397327554,0.9290804207668816,0.8425825955517167,0.9295535232958126,74.617,746.1700000000001,2947,3420320
baseline_20260624_215747,baseline,UCIHAR,5,0.9090600610790635,0.9097370122041029,0.9903858320433535,0.27104215395260367,0.9090600610790635,0.7205972175093315,0.9104010366215213,78.6425,314.57,2947,3420320
baseline_20260624_225729,baseline,UCIHAR,11,0.9182219205972175,0.9182006248033723,0.9919130784679461,0.26822115908911887,0.9182219205972175,0.8251843168707776,0.9182006248033723,104.046,1040.46,2947,3420320
baseline_20260625_004741,baseline,UCIHAR,11,0.9270444519850696,0.9275722897588125,0.9910216465012867,0.24214537931170235,0.9270444519850696,0.8277138538421198,0.9275722897588125,77.679,776.79,2947,3420320
baseline_20260625_022759,baseline,UCIHAR,11,0.9077027485578555,0.9090101166972105,0.9916277997730796,0.24735093421917012,0.9077027485578555,0.8272511336644354,0.9090362666494091,74.303,743.03,2947,3420320
baseline_20260625_040736,baseline,UCIHAR,1,0.12758737699355277,0.06881898295652789,0.31792161656828194,1.8008221362499481,0.12758737699355277,0.12758737699355277,0.06881898295652789,,,2947,3420320
optimized_20260624_193237,optimized,UCIHAR,11,0.9243298269426535,0.9257093015671837,0.9924387684527103,0.22668117730620693,0.9243298269426535,0.8291020143751736,0.9257093015671837,69.864,698.64,2947,3420320
optimized_20260624_211311,optimized,UCIHAR,7,0.9121140142517815,0.9139755336246509,0.9926278557913678,0.2514246214736015,0.9121140142517815,0.7775461728634446,0.9139755336246509,67.53666666666668,405.22,2947,3420320
optimized_20260624_223718,optimized,UCIHAR,2,0.7390566677977605,0.7437720519149046,0.9752100796066457,0.8605113815754017,0.7390566677977605,0.499321343739396,0.7437720519149046,65.42,65.42,2947,3420320
optimized_20260624_235552,optimized,UCIHAR,11,0.9185612487275195,0.9191175304759507,0.9932491508630902,0.23458996603384297,0.9209365456396336,0.8387574420828577,0.9214118374409707,73.289,732.89,2947,3420320
optimized_20260625_013826,optimized,UCIHAR,11,0.9080420766881574,0.9088175219662363,0.9915222547579252,0.24794509741378593,0.9134713267729895,0.8040534287565166,0.9140324687263642,70.679,706.79,2947,3420320
optimized_20260625_031814,optimized,UCIHAR,11,0.9161859518154055,0.9168886713767437,0.9924957061030245,0.23270292237321746,0.9233118425517476,0.827281981676281,0.92394233185931,67.127,671.27,2947,3420320
